id,time_created,time_updated,user_id,status,delivery_method,is_saved
1177766341,2022-11-13 18:58:11.527,2022-11-13 18:58:11.527,1843031567,4,0,false
408464583,2022-11-13 18:56:47.119,2022-11-13 18:56:47.119,1843031567,0,0,false
302202817,2022-11-13 18:56:32.541,2022-11-13 18:56:32.541,1690794268,0,0,false
843500353,2022-11-13 18:48:29.489,2022-11-13 18:48:29.489,406500776,0,0,false
1913814632,2022-11-13 18:46:33.496,2022-11-13 18:46:33.496,1555464603,0,0,false
622771930,2022-11-13 18:44:35.301,2022-11-13 18:44:35.301,1412255942,0,0,false
1651684681,2022-11-13 17:28:34.459,2022-11-13 17:28:34.459,1843031567,1,0,false
271995883,2022-11-13 17:27:11.995,2022-11-13 17:27:11.995,1843031567,1,1,false
901224999,2022-11-13 14:02:33.32,2022-11-13 14:02:33.32,1843031567,1,1,false
1858401951,2022-11-13 14:01:58.152,2022-11-13 14:01:58.152,1843031567,1,0,false
